Deppais,Sexo,Estcivil,Instruccion,Profesion,Viajando,Menoresedad,Transporte,Hospedaje,Alojamiento,Alimentacion,Infomraci�n,Organiviaje,Permanecia,Gasto,Visitadestino,Volvervisita,Satisviaje,Hospehilim,Hospeaten,Hospecalipre,Alimenhilim,Alimenaten,Almencalipre,Pistascarreteras,Serpubtransp,Servpublim,Serpubseg,Serpubateme
Chile,1,2,3,2,2,0,1,1,1,1,2,2,2,130,1,2,1,3,3,3,3,3,3,3,3,3,3,5
Chile,2,2,2,33,2,0,2,1,1,1,2,2,2,120,1,1,1,3,3,3,3,3,3,3,3,4,4,3
Chile,2,1,3,3,4,0,3,1,2,2,1,2,4,130,2,3,2,5,5,5,2,3,3,2,1,2,3,4
USA,1,2,4,33,2,0,1,1,1,1,6,1,9,300,1,3,1,4,4,3,3,3,3,3,3,3,3,5
USA,2,2,3,33,2,0,1,1,1,1,1,1,9,200,1,3,2,3,3,3,3,3,3,3,3,2,2,5
USA,1,1,3,33,4,0,1,1,1,1,1,1,9,230,1,3,2,3,3,3,3,3,3,3,3,3,2,2
Inglaterra,1,1,4,33,4,0,1,1,1,2,2,2,2,250,1,3,1,3,3,3,3,3,3,3,3,2,2,5
Chile,1,1,3,33,4,0,1,1,1,1,2,2,5,150,1,3,1,3,3,3,3,3,3,3,3,3,3,3
Inglaterra,1,1,4,33,3,0,6,1,1,1,2,2,2,350,1,3,1,3,3,3,3,3,3,3,3,3,2,2
Brasil,2,1,3,1,4,0,4,1,1,1,2,2,2,150,1,2,1,4,4,4,4,4,4,3,3,2,2,2
Holanda,2,2,3,33,3,1,6,1,1,2,2,1,2,400,1,1,1,2,3,3,3,3,3,2,3,2,2,3
Holanda,1,2,3,33,3,1,6,1,1,1,6,1,2,400,1,1,1,2,3,3,3,3,3,2,3,2,2,3
Mexico,1,2,4,13,3,1,2,1,1,2,1,2,3,200,2,1,2,3,3,3,3,3,3,3,3,3,3,3
Francia,1,1,3,5,2,0,6,1,1,1,1,2,4,250,1,3,2,3,4,3,3,3,3,3,2,2,3,2
Colombia,2,1,4,21,1,0,6,1,1,2,2,2,3,150,1,3,1,4,4,4,4,4,4,2,2,2,3,3
